"V1","V2","V3","V4","V5"
140,"           43719",1,1,"7CE04400220B"
141,"           43720",1,1,"7CE04400220B"
142,"           43747",1,1,"7CE044001CBC"
143,"           43748",1,1,"7CE04400199A"
144,"           43750",1,1,"7CE04400199A"
145,"           43751",1,1,"7CE04400199A"
146,"           43752",1,1,"7CE04400199A"
147,"           43753",1,1,"7CE044001CBC"
148,"           43754",1,1,"7CE044001CBC"
149,"           43755",1,1,"7CE044001CBC"
150,"           43756",1,1,"7CE04400199A"
151,"           43757",1,1,"7CE044001CBC"
152,"           43758",1,1,"7CE044002314"
153,"           43759",1,1,"7CE044002314"
154,"           43760",1,1,"7CE044002314"
155,"           43761",1,1,"7CE044002314"
156,"           43762",1,1,"7CE044002314"
157,"           43855",2,0.994,"7CE0440019F4"
158,"           43908",15,37.2013,"7CE044001342"
159,"       32D2783C0",33,1.0471,"00032D2783C0"
160,"       32D293F9F",17,1.1705,"00032D293F9F"
161,"      1C94041949",21,19.9808,"001C94041949"
162,"      204A9D5ACF",4,0.9882,"00204A9D5ACF"
163,"      30200088D5",5,0.9905,"0030200088D5"
164,"    7CE044000088",6,0.9875,"7CE044000088"
165,"    7CE044000089",6,0.9931,"7CE044000089"
166,"    7CE04400008B",6,0.9991,"7CE04400008B"
167,"    7CE044001023",6,0.9875,"7CE044001023"
168,"    7CE044001056",6,0.9875,"7CE044001056"
169,"    7CE044001210",6,0.9991,"7CE044001210"
170,"    7CE044001232",6,0.996,"7CE044001232"
171,"    7CE044001312",6,0.9961,"7CE044001312"
172,"    7CE044001342",6,0.9958,"7CE044001342"
173,"    7CE044001427",6,0.9991,"7CE044001427"
174,"    7CE044001550",6,0.9931,"7CE044001550"
175,"    7CE044001653",6,0.9983,"7CE044001653"
176,"    7CE0440016D9",6,0.9874,"7CE0440016D9"
177,"    7CE044001710",6,0.9991,"7CE044001710"
178,"    7CE044001723",6,0.9993,"7CE044001723"
179,"    7CE044001730",6,0.9932,"7CE044001730"
180,"    7CE044001765",6,0.9991,"7CE044001765"
181,"    7CE0440017A3",6,0.9931,"7CE0440017A3"
182,"    7CE0440017BF",6,0.9991,"7CE0440017BF"
183,"    7CE044001851",6,0.9875,"7CE044001851"
184,"    7CE04400187F",6,0.9991,"7CE04400187F"
185,"    7CE044001947",6,0.9984,"7CE044001947"
186,"    7CE04400199A",6,0.9991,"7CE04400199A"
187,"    7CE0440019DB",6,0.9875,"7CE0440019DB"
188,"    7CE0440019F4",6,0.9931,"7CE0440019F4"
189,"    7CE0440019FA",6,0.993,"7CE0440019FA"
190,"    7CE044001A06",6,0.9931,"7CE044001A06"
191,"    7CE044001A1E",6,0.9961,"7CE044001A1E"
192,"    7CE044001AE8",6,0.9961,"7CE044001AE8"
193,"    7CE044001AF3",6,0.9984,"7CE044001AF3"
194,"    7CE044001B9E",6,0.9991,"7CE044001B9E"
195,"    7CE044001BB0",6,0.9981,"7CE044001BB0"
196,"    7CE044001C12",6,0.996,"7CE044001C12"
197,"    7CE044001C19",6,0.9931,"7CE044001C19"
198,"    7CE044001C1A",6,0.9874,"7CE044001C1A"
199,"    7CE044001C2F",6,0.9965,"7CE044001C2F"
200,"    7CE044001C35",6,0.9965,"7CE044001C35"
201,"    7CE044001C5A",6,0.9981,"7CE044001C5A"
202,"    7CE044001CA4",6,0.9991,"7CE044001CA4"
203,"    7CE044001CBC",6,0.9991,"7CE044001CBC"
204,"    7CE044001CDB",6,0.9991,"7CE044001CDB"
205,"    7CE044001CE1",6,0.9931,"7CE044001CE1"
206,"    7CE044001D10",6,0.9991,"7CE044001D10"
207,"    7CE044001D4A",6,0.9931,"7CE044001D4A"
208,"    7CE044001DFE",6,0.9961,"7CE044001DFE"
209,"    7CE044001E03",6,0.9984,"7CE044001E03"
210,"    7CE044001E0C",6,0.9932,"7CE044001E0C"
211,"    7CE044001E12",6,0.9932,"7CE044001E12"
212,"    7CE044001E60",6,0.9966,"7CE044001E60"
213,"    7CE044001EC7",6,0.9961,"7CE044001EC7"
214,"    7CE044001F11",6,0.9962,"7CE044001F11"
215,"    7CE044001F57",6,0.9931,"7CE044001F57"
216,"    7CE044002029",6,0.9984,"7CE044002029"
217,"    7CE04400220B",6,0.9991,"7CE04400220B"
218,"    7CE044002305",6,0.9991,"7CE044002305"
219,"    7CE04400230F",6,0.9991,"7CE04400230F"
220,"    7CE044002314",6,0.9991,"7CE044002314"
221,"    7CE044002319",6,0.9991,"7CE044002319"
